#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
84.0%,420000,840.0,-40821.979,7515.469,-33306.509,294.671,30.89,0.99,1.4e+03,0:09
85.0%,425000,850.0,-40626.108,7583.341,-33042.768,297.332,31.221,0.979,1.4e+03,0:09
86.0%,430000,860.0,-40735.707,7754.617,-32981.089,304.048,31.156,0.981,1.4e+03,0:08
87.0%,435000,870.0,-40867.146,7738.501,-33128.645,303.416,31.328,0.976,1.4e+03,0:08
88.0%,440000,880.0,-40443.313,7604.098,-32839.215,298.146,31.111,0.983,1.4e+03,0:07
89.0%,445000,890.0,-40574.06,7677.618,-32896.442,301.029,31.448,0.972,1.4e+03,0:06
90.0%,450000,900.0,-40942.113,7631.926,-33310.188,299.237,30.799,0.993,1.4e+03,0:06
91.0%,455000,910.0,-40433.216,7354.946,-33078.27,288.377,31.214,0.98,1.4e+03,0:05
92.0%,460000,920.0,-40990.416,7744.574,-33245.841,303.654,31.203,0.98,1.4e+03,0:04
93.0%,465000,930.0,-40734.58,7706.065,-33028.515,302.144,30.903,0.989,1.4e+03,0:04
94.0%,470000,940.0,-40362.42,7893.971,-32468.449,309.511,30.91,0.989,1.4e+03,0:03
95.0%,475000,950.0,-40735.881,7533.105,-33202.776,295.362,30.8,0.993,1.4e+03,0:03
96.0%,480000,960.0,-40694.17,7764.494,-32929.677,304.435,30.977,0.987,1.4e+03,0:02
97.0%,485000,970.0,-40775.318,7594.667,-33180.651,297.776,30.96,0.988,1.4e+03,0:01
98.0%,490000,980.0,-41001.889,7636.741,-33365.148,299.426,31.248,0.978,1.4e+03,0:01
99.0%,495000,990.0,-40678.044,7548.156,-33129.888,295.953,30.784,0.993,1.4e+03,0:00
100.0%,500000,1000.0,-40700.121,7792.296,-32907.825,305.525,31.336,0.976,1.4e+03,0:00
